用户ID,用户名,密码,联系方式,地址,钱包余额,用户状态
U001,张三,123456,12345678,仙林大道163号,97.200,正常
U002,李四,123456,12345678,南京大学五栋,3950.8,正常
U003,小华,123456,12362363,nanjing university,640.0,正常
U004,嘿嘿,123456,123456789,远东大道,123.000,正常
U005,嘎嘎,123456,12365423,仙林,28.0,正常
U011,33,3,33,3,3.0,正常
U007,森哥,123654,151234,舞动的,0.0,正常
U008,森,个,123654,123,123.0,正常
U009,色,123654,123978,嘿嘿,0.0,正常
U010,森大队长,123456,15518562705,逸夫楼,62.0,正常
U021,2,2,2,22,2.0,正常
U022,哈哈哈,12654,1236548,12365,2674.0,封禁
U013,ahah,15463,1532,nju.wen,52.0,正常
U015,heihei,12365,452,hadskfj,12.0,正常

